## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectWgsMetrics INPUT=../Processed_bams/GRL1691.rgadded.mkdup.bam OUTPUT=Results/GRL1691_collect_wgs_metrics.txt REFERENCE_SEQUENCE=../Reference_files/genome/Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Sep 11 14:49:46 EEST 2018

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
12157105	50.473283	21.974626	49	7	0.097016	0.00335	0.004222	0.051108	0.089711	0.047565	0.292972	0.97938	0.974661	0.971997	0.96998	0.968094	0.964667	0.95424	0.833557	0.48811	0.180893	0.059986	0.023242	0.012018	0.008681	0.977222	16

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	250680
1	23161
2	14736
3	10751
4	8724
5	7030
6	6910
7	6686
8	5858
9	5901
10	5452
11	5407
12	4957
13	4422
14	4276
15	4415
16	4266
17	4343
18	4837
19	5067
20	5965
21	6458
22	7795
23	9657
24	11791
25	14855
26	18849
27	24086
28	30275
29	38695
30	49818
31	62860
32	79650
33	99708
34	122948
35	148847
36	177823
37	208279
38	241453
39	275779
40	311939
41	344458
42	376421
43	403999
44	429558
45	449012
46	463057
47	471881
48	475506
49	473797
50	466293
51	455423
52	439400
53	418387
54	394583
55	367694
56	339094
57	310663
58	284861
59	258479
60	232990
61	208978
62	187217
63	167080
64	149419
65	132151
66	116701
67	103410
68	91417
69	80512
70	71654
71	63708
72	56890
73	50712
74	44904
75	39882
76	34985
77	31345
78	27795
79	24829
80	21934
81	19475
82	17467
83	15547
84	13731
85	12068
86	10675
87	9594
88	8537
89	7413
90	6744
91	5881
92	5264
93	4537
94	4101
95	3580
96	3169
97	2724
98	2504
99	2067
100	1938
101	1618
102	1437
103	1220
104	1025
105	898
106	783
107	634
108	586
109	518
110	427
111	376
112	359
113	277
114	226
115	195
116	185
117	156
118	138
119	141
120	135
121	144
122	116
123	103
124	110
125	109
126	111
127	85
128	83
129	75
130	86
131	63
132	57
133	47
134	75
135	59
136	69
137	84
138	67
139	80
140	68
141	79
142	69
143	66
144	58
145	79
146	72
147	73
148	78
149	70
150	71
151	59
152	73
153	69
154	65
155	48
156	61
157	48
158	43
159	64
160	47
161	44
162	40
163	49
164	26
165	38
166	28
167	27
168	28
169	29
170	16
171	19
172	32
173	32
174	31
175	23
176	24
177	23
178	17
179	23
180	28
181	27
182	19
183	28
184	29
185	27
186	30
187	35
188	29
189	43
190	32
191	25
192	24
193	19
194	39
195	37
196	29
197	34
198	30
199	32
200	15
201	27
202	24
203	29
204	18
205	12
206	19
207	17
208	20
209	11
210	14
211	8
212	13
213	13
214	10
215	15
216	17
217	17
218	10
219	22
220	13
221	18
222	23
223	13
224	14
225	15
226	14
227	24
228	20
229	11
230	27
231	18
232	22
233	9
234	24
235	14
236	16
237	21
238	25
239	27
240	27
241	17
242	28
243	35
244	18
245	31
246	32
247	36
248	27
249	20
250	87169

