## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[../Processed_bams/GRL1691.rgadded.bam] OUTPUT=../Processed_bams/GRL1691.rgadded.mkdup.bam METRICS_FILE=Results/GRL1691_duplicate_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Sep 11 14:48:01 EEST 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
GRL1691	22841	1769206	12822	57923	5589	5872	2311	0.004867	437759326

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.001305
2.0	1.998572
3.0	2.991816
4.0	3.981055
5.0	4.966303
6.0	5.947577
7.0	6.924894
8.0	7.898269
9.0	8.867718
10.0	9.833256
11.0	10.794901
12.0	11.752666
13.0	12.706569
14.0	13.656624
15.0	14.602848
16.0	15.545255
17.0	16.483861
18.0	17.418681
19.0	18.349731
20.0	19.277025
21.0	20.200579
22.0	21.120409
23.0	22.036528
24.0	22.948952
25.0	23.857697
26.0	24.762775
27.0	25.664204
28.0	26.561997
29.0	27.456168
30.0	28.346733
31.0	29.233706
32.0	30.117102
33.0	30.996934
34.0	31.873218
35.0	32.745968
36.0	33.615197
37.0	34.480921
38.0	35.343152
39.0	36.201906
40.0	37.057197
41.0	37.909038
42.0	38.757443
43.0	39.602426
44.0	40.444001
45.0	41.282181
46.0	42.116981
47.0	42.948414
48.0	43.776493
49.0	44.601233
50.0	45.422646
51.0	46.240746
52.0	47.055546
53.0	47.86706
54.0	48.675301
55.0	49.480282
56.0	50.282016
57.0	51.080516
58.0	51.875796
59.0	52.667868
60.0	53.456746
61.0	54.242441
62.0	55.024968
63.0	55.804338
64.0	56.580565
65.0	57.353662
66.0	58.12364
67.0	58.890512
68.0	59.654291
69.0	60.41499
70.0	61.172621
71.0	61.927196
72.0	62.678727
73.0	63.427227
74.0	64.172708
75.0	64.915183
76.0	65.654663
77.0	66.39116
78.0	67.124687
79.0	67.855255
80.0	68.582876
81.0	69.307563
82.0	70.029327
83.0	70.748179
84.0	71.464132
85.0	72.177198
86.0	72.887388
87.0	73.594713
88.0	74.299185
89.0	75.000816
90.0	75.699617
91.0	76.395599
92.0	77.088774
93.0	77.779154
94.0	78.466749
95.0	79.15157
96.0	79.83363
97.0	80.512938
98.0	81.189507
99.0	81.863347
100.0	82.534469

